kid_id,day_week,day_type,need_meal
1.0,1.0,type3,N
2.0,1.0,type2,N
3.0,1.0,type3,N
4.0,3.0,type1,N
5.0,2.0,type1,Y
6.0,3.0,type3,Y
7.0,3.0,type3,Y
8.0,5.0,type2,Y
9.0,2.0,type2,Y
10.0,5.0,type1,N
11.0,1.0,type1,N
12.0,5.0,type3,N
13.0,2.0,type2,Y
14.0,4.0,type2,N
15.0,4.0,type3,Y
16.0,5.0,type3,Y
17.0,3.0,type3,Y
18.0,5.0,type3,N
19.0,4.0,type1,N
20.0,5.0,type1,N
21.0,3.0,type1,Y
22.0,1.0,type3,Y
23.0,1.0,type2,N
24.0,3.0,type1,Y
25.0,4.0,type3,N
26.0,3.0,type2,Y
27.0,4.0,type2,Y
28.0,4.0,type3,Y
29.0,5.0,type3,Y
30.0,2.0,type1,N
31.0,5.0,type3,Y
32.0,2.0,type1,Y
33.0,2.0,type2,Y
34.0,2.0,type2,Y
35.0,1.0,type1,Y
36.0,2.0,type3,N
37.0,3.0,type1,N
38.0,2.0,type2,Y
39.0,2.0,type3,Y
40.0,5.0,type3,N
41.0,5.0,type1,Y
42.0,3.0,type1,N
43.0,5.0,type2,Y
44.0,5.0,type2,N
45.0,2.0,type3,N
46.0,4.0,type2,Y
47.0,4.0,type3,N
48.0,5.0,type1,Y
49.0,3.0,type2,N
50.0,5.0,type1,Y
51.0,3.0,type3,Y
52.0,3.0,type1,N
53.0,4.0,type2,Y
54.0,2.0,type1,Y
55.0,4.0,type1,Y
56.0,4.0,type3,Y
57.0,5.0,type2,Y
58.0,2.0,type2,Y
59.0,4.0,type2,Y
60.0,3.0,type3,N
61.0,4.0,type2,Y
62.0,5.0,type2,N
63.0,5.0,type3,N
64.0,3.0,type1,Y
65.0,4.0,type2,N
66.0,4.0,type3,N
67.0,3.0,type2,Y
68.0,5.0,type1,Y
69.0,5.0,type2,Y
70.0,4.0,type2,Y
71.0,4.0,type3,Y
72.0,2.0,type3,Y
73.0,3.0,type1,N
74.0,2.0,type2,N
75.0,5.0,type3,N
76.0,3.0,type3,N
77.0,4.0,type3,Y
78.0,3.0,type3,Y
79.0,3.0,type3,Y
80.0,5.0,type1,N
81.0,5.0,type2,Y
82.0,5.0,type1,N
83.0,5.0,type1,Y
84.0,5.0,type2,Y
85.0,5.0,type1,Y
86.0,4.0,type2,Y
87.0,3.0,type1,N
88.0,2.0,type3,N
89.0,4.0,type2,N
90.0,5.0,type2,Y
91.0,3.0,type2,Y
92.0,5.0,type1,Y
93.0,1.0,type2,N
94.0,3.0,type1,N
95.0,1.0,type3,N
96.0,2.0,type3,Y
97.0,1.0,type3,Y
98.0,1.0,type1,N
99.0,5.0,type2,Y
100.0,1.0,type1,N
