kid_id,day_week,day_type,need_meal
1.0,1.0,type2,N
2.0,1.0,type2,Y
3.0,1.0,type1,Y
4.0,3.0,type2,N
5.0,2.0,type3,N
6.0,3.0,type2,Y
7.0,3.0,type1,N
8.0,5.0,type3,Y
9.0,2.0,type1,N
10.0,5.0,type2,N
11.0,1.0,type1,N
12.0,5.0,type3,Y
13.0,2.0,type1,Y
14.0,4.0,type2,Y
15.0,4.0,type3,N
16.0,5.0,type3,Y
17.0,3.0,type1,N
18.0,5.0,type3,N
19.0,4.0,type3,N
20.0,5.0,type3,N
21.0,3.0,type3,N
22.0,1.0,type3,N
23.0,1.0,type1,N
24.0,3.0,type1,Y
25.0,4.0,type1,N
26.0,3.0,type2,N
27.0,4.0,type2,N
28.0,4.0,type2,Y
29.0,5.0,type2,N
30.0,2.0,type1,Y
31.0,5.0,type1,Y
32.0,2.0,type2,N
33.0,2.0,type3,N
34.0,2.0,type3,Y
35.0,1.0,type1,Y
36.0,2.0,type2,N
37.0,3.0,type1,N
38.0,2.0,type3,Y
39.0,2.0,type2,N
40.0,5.0,type2,Y
41.0,5.0,type1,Y
42.0,3.0,type2,Y
43.0,5.0,type3,N
44.0,5.0,type3,Y
45.0,2.0,type3,N
46.0,4.0,type2,Y
47.0,4.0,type2,Y
48.0,5.0,type3,Y
49.0,3.0,type2,Y
50.0,5.0,type2,Y
51.0,3.0,type3,N
52.0,3.0,type3,Y
53.0,4.0,type3,Y
54.0,2.0,type2,N
55.0,4.0,type2,Y
56.0,4.0,type1,N
57.0,5.0,type3,N
58.0,2.0,type3,N
59.0,4.0,type3,Y
60.0,3.0,type3,N
61.0,4.0,type2,N
62.0,5.0,type2,Y
63.0,5.0,type3,Y
64.0,3.0,type2,N
65.0,4.0,type2,Y
66.0,4.0,type1,N
67.0,3.0,type1,Y
68.0,5.0,type2,N
69.0,5.0,type2,N
70.0,4.0,type3,Y
71.0,4.0,type1,Y
72.0,2.0,type2,N
73.0,3.0,type3,N
74.0,2.0,type3,N
75.0,5.0,type3,Y
76.0,3.0,type2,N
77.0,4.0,type3,Y
78.0,3.0,type1,N
79.0,3.0,type3,N
80.0,5.0,type3,Y
81.0,5.0,type2,N
82.0,5.0,type3,N
83.0,5.0,type3,Y
84.0,5.0,type3,Y
85.0,5.0,type3,N
86.0,4.0,type2,Y
87.0,3.0,type2,N
88.0,2.0,type3,N
89.0,4.0,type2,N
90.0,5.0,type1,N
91.0,3.0,type3,Y
92.0,5.0,type1,Y
93.0,1.0,type2,Y
94.0,3.0,type3,N
95.0,1.0,type2,Y
96.0,2.0,type1,N
97.0,1.0,type1,Y
98.0,1.0,type3,Y
99.0,5.0,type1,Y
100.0,1.0,type2,N
